h,v,BurnedCells,month,year
11.0,2.0,1631.47,6.0,2092.0
11.0,2.0,2650.37,7.0,2092.0
11.0,2.0,1292.36,8.0,2092.0
11.0,2.0,5909.64,9.0,2092.0
11.0,2.0,2211.64,10.0,2092.0
11.0,2.0,1920.59,11.0,2092.0
11.0,2.0,282.67,12.0,2092.0
11.0,2.0,286.13,1.0,2093.0
11.0,2.0,28.02,2.0,2093.0
11.0,2.0,90.63,3.0,2093.0
11.0,2.0,501.28,4.0,2093.0
11.0,2.0,2665.82,5.0,2093.0
11.0,2.0,1454.83,6.0,2093.0
11.0,2.0,1263.88,7.0,2093.0
11.0,2.0,4426.55,8.0,2093.0
11.0,2.0,1186.55,9.0,2093.0
11.0,2.0,1562.28,10.0,2093.0
11.0,2.0,1269.87,11.0,2093.0
11.0,2.0,47.06,12.0,2093.0
11.0,2.0,577.58,1.0,2094.0
11.0,2.0,59.6,2.0,2094.0
11.0,2.0,70.94,3.0,2094.0
11.0,2.0,834.64,4.0,2094.0
11.0,2.0,548.6,5.0,2094.0
11.0,2.0,1622.88,6.0,2094.0
11.0,2.0,1446.73,7.0,2094.0
11.0,2.0,1060.36,8.0,2094.0
11.0,2.0,907.52,9.0,2094.0
11.0,2.0,3035.21,10.0,2094.0
11.0,2.0,224.18,11.0,2094.0
11.0,2.0,270.19,12.0,2094.0
11.0,2.0,536.34,1.0,2095.0
11.0,2.0,8.18,2.0,2095.0
11.0,2.0,149.3,3.0,2095.0
11.0,2.0,1607.88,4.0,2095.0
11.0,2.0,518.31,5.0,2095.0
11.0,2.0,1686.7,6.0,2095.0
11.0,2.0,1632.33,7.0,2095.0
11.0,2.0,1223.56,8.0,2095.0
11.0,2.0,2400.11,9.0,2095.0
11.0,2.0,626.93,10.0,2095.0
